ms,degC
2021,27.10
4045,26.70
6068,26.70
8090,26.80
10113,26.70
12135,26.80
14157,26.90
16182,26.90
18205,27.00
20228,27.10
22250,27.20
24272,27.30
26297,27.30
28320,27.40
30343,27.50
32365,27.60
34390,27.70
36412,27.90
38434,27.90
40457,28.00
42479,28.20
44503,28.20
46527,28.40
48549,28.40
50572,28.50
52594,28.60
54618,28.70
56642,28.80
58664,28.90
60687,29.00
62709,29.00
64733,29.30
66755,29.20
68777,29.30
70800,29.40
72824,29.50
74847,29.70
76869,29.80
78894,29.80
80916,29.90
82938,30.00
84961,30.20
86983,30.30
89008,30.40
91031,30.40
93053,30.40
95076,30.50
97098,30.60
99123,30.70
101145,30.70
