ms,degC
2021,25.80
4043,25.80
6068,25.80
8090,26.00
10113,26.20
12135,26.30
14157,26.40
16182,26.60
18204,26.90
20227,27.00
22249,27.20
24272,27.40
26296,27.50
28318,27.70
30341,27.90
32365,28.00
34387,28.30
36410,28.30
38432,28.50
40457,28.60
42479,28.80
44502,28.80
46526,29.00
48549,29.10
50572,29.20
52594,29.40
54619,29.50
56641,29.70
58665,29.70
60688,29.80
62710,30.00
64735,30.10
66757,30.20
68780,30.30
70803,30.40
72825,30.40
74849,30.50
76871,30.60
78894,30.70
80917,30.70
82939,30.80
84964,31.00
86986,31.00
89009,31.00
91031,31.10
93056,31.10
95078,31.20
97100,31.30
99125,31.20
101147,31.40