ms,degC
2021,23.10
4045,23.50
6068,23.70
8090,23.90
10113,24.10
12137,24.30
14160,24.50
16183,24.80
18205,25.00
20228,25.20
22251,25.40
24275,25.70
26298,26.00
28320,26.20
30343,26.40
32365,26.60
34390,26.80
36413,27.00
38435,27.10
40458,27.40
42480,27.40
44505,27.70
46528,27.80
48550,27.90
50573,28.00
52595,28.30
54619,28.40
56642,28.50
58665,28.50
60688,28.70
62711,28.80
64734,28.90
66756,29.00
68780,29.10
70802,29.20
72825,29.20
74848,29.50
76870,29.60
78895,29.70
80917,29.80
82939,29.90
84964,29.90
86986,30.00
89009,30.10
91033,30.20
93056,30.30
95079,30.40
97101,30.40
99124,30.50
101148,30.60
