ms,degC
2021,26.80
4043,26.30
6067,26.40
8091,26.30
10115,26.30
12137,26.40
14159,26.40
16182,26.50
18206,26.70
20229,26.70
22251,26.70
24275,26.90
26298,27.00
28320,27.00
30343,27.20
32367,27.30
34390,27.50
36412,27.50
38436,27.70
40459,27.80
42481,27.90
44504,28.00
46527,28.20
48551,28.30
50574,28.40
52596,28.40
54619,28.60
56643,28.70
58665,28.80
60688,28.90
62710,29.00
64735,29.10
66757,29.20
68780,29.30
70804,29.40
72826,29.60
74849,29.70
76873,29.70
78896,29.90
80918,30.00
82942,30.20
84965,30.20
86987,30.30
89012,30.40
91034,30.50
93057,30.60
95080,30.60
97102,30.70
99125,30.80
101149,30.90
