ms,degC
2021,25.90
4045,26.20
6068,26.30
8090,26.40
10113,26.70
12137,26.70
14159,26.90
16182,27.10
18206,27.30
20229,27.40
22251,27.70
24275,27.80
26298,28.00
28320,28.20
30343,28.30
32366,28.40
34388,28.60
36411,28.70
38433,28.90
40458,29.00
42480,29.20
44503,29.30
46525,29.50
48549,29.70
50572,29.80
52594,29.90
54617,30.10
56640,30.20
58662,30.40
60685,30.40
62708,30.60
64731,30.70
66754,30.80
68776,30.90
70799,31.00
72821,31.10
74846,31.20
76869,31.30
78892,31.40
80914,31.40
82938,31.60
84961,31.70
86983,31.70
89008,31.70
91030,31.80
93052,31.90
95075,32.10
97097,32.20
99120,32.20
101143,32.20
